const,max_depth,n_samples,threshold,lpd (ht) (mean),lpd (ht) (std),count,stream
0.5,2,1000,0.45,0.0184013669229647,,1,InsectsIncrementalReoccurringBalanced
0.5,2,1000,0.5,0.0183935529578462,,1,InsectsIncrementalReoccurringBalanced
1.0,3,1000,0.5,0.0183831343376883,,1,InsectsIncrementalReoccurringBalanced
1.0,3,1000,0.55,0.0183815715446646,,1,InsectsIncrementalReoccurringBalanced
0.5,2,1000,0.55,0.0183810506136567,,1,InsectsIncrementalReoccurringBalanced
0.5,3,1000,0.55,0.0183654226834198,,1,InsectsIncrementalReoccurringBalanced
0.5,3,1000,0.45,0.0183570877872934,,1,InsectsIncrementalReoccurringBalanced
0.5,3,1000,0.5,0.0183503156841907,,1,InsectsIncrementalReoccurringBalanced
0.5,3,500,0.5,0.0153205450159836,,1,InsectsIncrementalReoccurringBalanced
0.5,3,500,0.45,0.0153162338628147,,1,InsectsIncrementalReoccurringBalanced
1.0,3,500,0.55,0.0148665374757767,,1,InsectsIncrementalReoccurringBalanced
1.0,3,500,0.5,0.0148619532829072,,1,InsectsIncrementalReoccurringBalanced
1.0,3,500,0.45,0.0148540351315871,,1,InsectsIncrementalReoccurringBalanced
0.5,2,500,0.45,0.0148444500010418,,1,InsectsIncrementalReoccurringBalanced
0.5,3,500,0.55,0.0148056927340543,,1,InsectsIncrementalReoccurringBalanced
1.0,2,500,0.5,0.0148052759892479,,1,InsectsIncrementalReoccurringBalanced
1.0,2,500,0.45,0.0148031922652163,,1,InsectsIncrementalReoccurringBalanced
1.0,2,500,0.55,0.0148015252859911,,1,InsectsIncrementalReoccurringBalanced
0.5,2,500,0.5,0.0143539010338632,,1,InsectsIncrementalReoccurringBalanced
0.5,2,500,0.55,0.0143526911295867,,1,InsectsIncrementalReoccurringBalanced
0.5,3,250,0.45,0.012128963369821,,1,InsectsIncrementalReoccurringBalanced
0.5,3,250,0.5,0.0115172235819857,,1,InsectsIncrementalReoccurringBalanced
1.0,3,250,0.5,0.0115044006648682,,1,InsectsIncrementalReoccurringBalanced
1.0,3,250,0.45,0.0115008743626609,,1,InsectsIncrementalReoccurringBalanced
1.0,3,250,0.55,0.010965470659895,,1,InsectsIncrementalReoccurringBalanced
0.5,3,250,0.55,0.0104275365584535,,1,InsectsIncrementalReoccurringBalanced
1.0,2,250,0.45,0.008856072278258,,1,InsectsIncrementalReoccurringBalanced
1.0,2,250,0.5,0.0085497162793495,,1,InsectsIncrementalReoccurringBalanced
1.0,2,250,0.55,0.0080836585431196,,1,InsectsIncrementalReoccurringBalanced
0.5,2,250,0.45,0.0080015002813027,,1,InsectsIncrementalReoccurringBalanced
0.5,2,250,0.5,0.0074868204455001,,1,InsectsIncrementalReoccurringBalanced
0.5,2,250,0.55,0.0068291213693476,,1,InsectsIncrementalReoccurringBalanced
1.0,3,100,0.45,0.003053844407907,,1,InsectsIncrementalReoccurringBalanced
1.0,3,100,0.5,0.0027408753599131,,1,InsectsIncrementalReoccurringBalanced
0.5,3,100,0.45,0.002643809667801,,1,InsectsIncrementalReoccurringBalanced
1.0,3,100,0.55,0.002564887696104,,1,InsectsIncrementalReoccurringBalanced
0.5,3,100,0.5,0.0025088958323332,,1,InsectsIncrementalReoccurringBalanced
