n_reference_samples,recent_samples_proportion,threshold,lpd (ht) (mean),lpd (ht) (std),count,stream
250,0.5,0.6,0.0007185752354774,4.127757466532417e-05,5,NOAAWeather
250,0.1,0.8,0.0006774787321405,1.874344050329064e-05,5,NOAAWeather
250,0.1,0.7,0.0006717183816634,1.9089848636385617e-05,5,NOAAWeather
250,0.1,0.6,0.0006554123852167,3.515503762959128e-05,5,NOAAWeather
125,0.5,0.8,0.0004001604353732,2.1901328436119107e-05,5,NOAAWeather
125,1.0,0.8,0.0003965871968955,6.539548256453397e-06,5,NOAAWeather
125,0.1,0.8,0.0003895758680463,1.0497295925784582e-05,5,NOAAWeather
125,0.1,0.7,0.0003449762985209,1.1574423951751114e-05,5,NOAAWeather
125,1.0,0.7,0.0003379592954626,5.401954734349751e-06,5,NOAAWeather
125,0.5,0.7,0.0003341375459144,1.358985544279134e-05,5,NOAAWeather
125,0.5,0.6,0.0003325018545245,1.43237758713634e-05,5,NOAAWeather
125,0.1,0.6,0.0003243805181103,1.01857762810251e-05,5,NOAAWeather
125,1.0,0.6,0.0003151474717769,2.4759584272868936e-06,5,NOAAWeather
50,0.5,0.8,0.0001702384580878,1.0734379051280777e-05,5,NOAAWeather
50,1.0,0.8,0.0001482475735148,5.302303580172249e-06,5,NOAAWeather
50,0.1,0.8,0.0001476250204697,5.720912396469742e-06,5,NOAAWeather
50,0.5,0.7,0.0001310531482064,4.001946827298948e-06,5,NOAAWeather
50,0.1,0.6,0.0001282237388257,6.457788221501602e-06,5,NOAAWeather
50,0.1,0.7,0.0001267216599801,6.749658849875165e-06,5,NOAAWeather
50,1.0,0.7,0.0001235166662525,1.9573315581036097e-06,5,NOAAWeather
50,0.5,0.6,0.0001214519576525,6.360329790534269e-06,5,NOAAWeather
50,1.0,0.6,0.0001157959884392,2.3139009291598384e-06,5,NOAAWeather
500,0.5,0.7,0.2473118279569892,0.0,5,OutdoorObjects
250,0.5,0.8,0.1170292573143285,0.0,5,OutdoorObjects
125,1.0,0.8,0.0786071517879469,0.0081916468793127,5,OutdoorObjects
500,1.0,0.6,0.0683295823955989,0.0,3,OutdoorObjects
500,0.5,0.6,0.0556955905643077,0.0036196082456485,5,OutdoorObjects
500,0.1,0.8,0.0509127281820454,0.0042191334336446,5,OutdoorObjects
500,0.1,0.7,0.0439395563176508,0.0,5,OutdoorObjects
500,0.1,0.6,0.0434037080698745,0.0004891602878444,5,OutdoorObjects
250,0.5,0.7,0.0394277140713749,0.0020705063503072,5,OutdoorObjects
125,0.5,0.8,0.0354330249228973,0.0082592178482713,5,OutdoorObjects
250,1.0,0.6,0.0276556901463127,0.0015306391092696,5,OutdoorObjects
250,0.1,0.8,0.0274594872494346,0.0022246583062163,5,OutdoorObjects
250,0.5,0.6,0.0256473459024096,0.0008384901441291,5,OutdoorObjects
125,1.0,0.7,0.0254570373362571,0.0022993762946517,5,OutdoorObjects
250,0.1,0.7,0.024646161540385,0.0006333381404881,5,OutdoorObjects
250,0.1,0.6,0.0233947375732821,0.0001924982142834,3,OutdoorObjects
125,0.5,0.7,0.0169117545714303,0.0009394573305608,5,OutdoorObjects
125,1.0,0.6,0.0161697796243932,0.0004164343536901,5,OutdoorObjects
125,0.5,0.6,0.0141297639680855,0.0001977666003646,5,OutdoorObjects
125,0.1,0.8,0.0139506551514725,0.0003717546757304,5,OutdoorObjects
125,0.1,0.6,0.013267833087304,6.412766712440497e-05,5,OutdoorObjects
125,0.1,0.7,0.0132228830288773,0.0001156263328337,5,OutdoorObjects
50,1.0,0.8,0.0120795552197145,0.0013006285691348,5,OutdoorObjects
50,0.5,0.8,0.0084319438406526,0.0007102582364583,5,OutdoorObjects
50,1.0,0.7,0.0071788751920273,0.0001710109105356,5,OutdoorObjects
50,0.5,0.7,0.0065610265549607,0.0001697094302091,5,OutdoorObjects
50,0.1,0.8,0.0064932845800677,0.0001156774096882,5,OutdoorObjects
50,1.0,0.6,0.0062163874787187,0.0002459892104443,5,OutdoorObjects
50,0.1,0.7,0.0062044753422582,9.43313356539404e-05,5,OutdoorObjects
50,0.5,0.6,0.0061993626260446,8.522268375524762e-05,5,OutdoorObjects
50,0.1,0.6,0.0059972525136973,6.475636826390689e-05,5,OutdoorObjects
500,1.0,0.8,9.883254076005832e-05,2.316578174927409e-07,5,PokerHand
500,0.5,0.8,9.882399973117434e-05,4.889643736477302e-07,5,PokerHand
500,1.0,0.7,9.650194287172792e-05,1.1047242956589965e-07,5,PokerHand
500,0.1,0.8,9.627853433357937e-05,3.6088196554268747e-07,5,PokerHand
500,0.5,0.7,9.619080786610084e-05,5.321800598572119e-07,5,PokerHand
500,0.5,0.6,9.604668743283208e-05,3.9380209857595777e-07,5,PokerHand
500,0.1,0.7,9.491012020998256e-05,3.838478012281775e-07,5,PokerHand
500,0.1,0.6,9.474642859000168e-05,1.9934053214947281e-07,5,PokerHand
250,1.0,0.8,6.215683773793389e-05,1.489535922663825e-07,5,PokerHand
250,0.5,0.8,5.881060582313753e-05,6.569908954387692e-08,5,PokerHand
250,1.0,0.7,5.8747859936529495e-05,1.0240944341585705e-07,5,PokerHand
250,0.5,0.7,5.715624300438007e-05,4.8031194401415575e-08,5,PokerHand
250,1.0,0.6,5.708693768091452e-05,2.5083910241649757e-08,5,PokerHand
250,0.5,0.6,5.679412321059453e-05,2.1237105726050825e-07,5,PokerHand
250,0.1,0.8,5.6744347978844034e-05,1.2853556629852405e-07,5,PokerHand
250,0.1,0.6,5.6379353277208536e-05,1.882490968064731e-07,5,PokerHand
250,0.1,0.7,5.6298726459106895e-05,1.816851063045929e-07,5,PokerHand
125,1.0,0.8,3.310912481563014e-05,5.1295328026346684e-08,5,PokerHand
125,0.1,0.8,3.220256865863837e-05,1.936218770024672e-07,5,PokerHand
125,1.0,0.7,3.195015135345033e-05,3.509243239626999e-08,5,PokerHand
125,0.5,0.8,3.190160996560273e-05,2.4201301665932525e-08,5,PokerHand
125,0.1,0.7,3.1650609088883304e-05,1.4342597069450714e-07,5,PokerHand
125,0.5,0.7,3.161455174424644e-05,4.303797266393534e-08,5,PokerHand
125,1.0,0.6,3.144704405693436e-05,2.5121506731821696e-08,5,PokerHand
125,0.5,0.6,3.140481095246041e-05,4.816688293690981e-08,5,PokerHand
125,0.1,0.6,3.132096961315742e-05,2.81945408310014e-08,5,PokerHand
50,1.0,0.8,1.601552367167891e-05,5.340690420480742e-07,5,PokerHand
50,0.5,0.8,1.5436289423687317e-05,1.5257042025537113e-07,5,PokerHand
50,0.1,0.8,1.5148587849849942e-05,1.5422190341987334e-07,5,PokerHand
50,0.1,0.7,1.4400102752218908e-05,1.2029712408857604e-07,5,PokerHand
50,1.0,0.7,1.4338262328179396e-05,2.054155688685302e-07,5,PokerHand
50,0.5,0.7,1.4309766479443117e-05,1.127315941711844e-07,5,PokerHand
50,0.1,0.6,1.404087979711685e-05,3.5719482160805716e-08,5,PokerHand
50,0.5,0.6,1.3873398504856984e-05,2.9450342782867275e-08,5,PokerHand
50,1.0,0.6,1.3816112613767987e-05,2.4671639914443173e-08,5,PokerHand
500,1.0,0.8,0.0023557322818859,0.0,5,Powersupply
500,1.0,0.7,0.0010095199907075,3.417366799777532e-05,5,Powersupply
500,0.5,0.8,0.0009556587696728,0.0002482035491169,5,Powersupply
125,1.0,0.8,0.0009033091634087,0.0011970885959402,5,Powersupply
500,0.5,0.7,0.0008684563236428,5.173265642700789e-05,5,Powersupply
500,0.1,0.8,0.0006984431347046,0.0003013669545547,5,Powersupply
250,1.0,0.8,0.000645141272334,7.58399849329142e-05,5,Powersupply
125,0.5,0.8,0.0006333282134987,8.709498184491725e-05,5,Powersupply
250,1.0,0.7,0.0006246995895139,8.979637347674725e-06,5,Powersupply
250,0.5,0.7,0.0005286926479081,1.8433883496476626e-05,5,Powersupply
500,0.5,0.6,0.0004864593364087,4.517531253687526e-05,5,Powersupply
250,0.1,0.8,0.0004736804363575,7.823860392603806e-05,5,Powersupply
125,1.0,0.7,0.0004704908295133,8.839487629630525e-05,5,Powersupply
500,1.0,0.6,0.0004406429382203,2.724530422467579e-05,5,Powersupply
50,1.0,0.8,0.0004270554220636,5.364475210783956e-05,5,Powersupply
500,0.1,0.7,0.0003284999904537,0.0001105642325347,5,Powersupply
50,0.5,0.8,0.0002760236720964,2.884979200657918e-05,5,Powersupply
500,0.1,0.6,0.0002494251162676,1.7927675624120807e-05,5,Powersupply
250,1.0,0.6,0.0002304201177708,1.6059614962239135e-05,5,Powersupply
