n_reference_samples,recent_samples_proportion,threshold,acc (ht-dd) (mean),acc (ht-dd) (std),count,stream
125,0.5,0.8,0.6596649162290572,0.0342672335950675,5,OutdoorObjects
500,0.5,0.6,0.6464116029007252,0.0039140974849959,5,OutdoorObjects
500,0.1,0.8,0.6413603400850213,0.0057280147543349,5,OutdoorObjects
500,1.0,0.6,0.6314078519629908,0.0,3,OutdoorObjects
125,1.0,0.8,0.6067016754188547,0.00402592884171,5,OutdoorObjects
500,0.5,0.7,0.6054013503375844,0.0,5,OutdoorObjects
250,0.5,0.8,0.5921480370092523,0.0,5,OutdoorObjects
50,0.1,0.6,0.7237802701398939,0.0004240269964105,5,PokerHand
50,1.0,0.6,0.7237358900144718,7.02653812090184e-05,5,PokerHand
50,0.1,0.7,0.7234901109503136,0.0002972065913403,5,PokerHand
50,0.5,0.6,0.7233936324167873,0.0003235055661714,5,PokerHand
50,0.1,0.8,0.72316497829233,0.0001342561496667,5,PokerHand
50,1.0,0.7,0.7228917028461168,0.0002888073056802,5,PokerHand
50,0.5,0.7,0.7226410998552822,0.0003575933928671,5,PokerHand
50,1.0,0.8,0.7212925711529186,0.0003439346816148,5,PokerHand
50,0.5,0.8,0.7207397491558127,0.0007137947652112,5,PokerHand
125,0.1,0.7,0.706870477568741,0.0003722021676596,5,PokerHand
125,0.1,0.6,0.7064770863482875,0.00016470239609,5,PokerHand
125,0.1,0.8,0.7062686927158707,0.0005145367112314,5,PokerHand
125,0.5,0.6,0.7057834056922335,0.0004170644856109,5,PokerHand
125,1.0,0.6,0.7056748673420163,5.9939836747662345e-05,5,PokerHand
125,1.0,0.7,0.704551133622769,6.729442550867396e-05,5,PokerHand
125,0.5,0.7,0.7043745779064159,0.0004208777541188,5,PokerHand
125,1.0,0.8,0.702984322238302,0.0001494896856368,5,PokerHand
125,0.5,0.8,0.7027554269175109,0.0006312962139185,5,PokerHand
250,1.0,0.6,0.6872952243125904,2.304655896886335e-05,5,PokerHand
